b,hamming_abs,hamming_norm
0.0,84363,0.46868333333333334
0.02,78895,0.43830555555555556
0.04,76912,0.4272888888888889
0.06,75794,0.4210777777777778
0.08,74969,0.41649444444444444
0.1,73586,0.4088111111111111
0.12,71708,0.3983777777777778
0.14,68347,0.3797055555555556
0.16,62153,0.34529444444444446
0.18,51886,0.28825555555555554
0.2,6920,0.03844444444444445
0.22,64062,0.3559
0.24,68675,0.3815277777777778
0.26,72401,0.4022277777777778
0.28,75052,0.4169555555555556
0.3,76568,0.4253777777777778
0.32,78142,0.43412222222222224
0.34,79478,0.44154444444444446
0.36,80896,0.4494222222222222
0.38,81491,0.4527277777777778
0.4,82315,0.4573055555555556
0.42,83091,0.4616166666666667
0.44,84127,0.46737222222222224
0.46,84471,0.46928333333333333
0.48,84570,0.4698333333333333
0.5,84551,0.4697277777777778
0.52,84897,0.47165
0.54,85274,0.47374444444444447
0.56,85124,0.4729111111111111
0.58,85078,0.47265555555555555
0.6,85421,0.4745611111111111
0.62,85257,0.47365
0.64,85260,0.4736666666666667
0.66,85571,0.47539444444444445
0.68,85652,0.47584444444444446
0.7000000000000001,85593,0.47551666666666664
0.72,85824,0.4768
0.74,85903,0.4772388888888889
0.76,86107,0.4783722222222222
0.78,86668,0.4814888888888889
0.8,86612,0.48117777777777776
0.8200000000000001,86525,0.4806944444444444
0.84,86459,0.4803277777777778
0.86,87080,0.48377777777777775
0.88,87102,0.4839
0.9,86964,0.48313333333333336
0.92,86922,0.4829
0.9400000000000001,87337,0.48520555555555556
0.96,87422,0.48567777777777776
0.98,87513,0.48618333333333336
1.0,87526,0.48625555555555555
