a,hamming_abs,hamming_norm
0.0,195775,0.39155
0.02,194180,0.38836
0.04,192258,0.384516
0.06,189570,0.37914
0.08,187114,0.374228
0.1,183639,0.367278
0.12,179474,0.358948
0.14,173704,0.347408
0.16,164751,0.329502
0.18,148512,0.297024
0.2,119629,0.239258
0.22,164808,0.329616
0.24,187500,0.375
0.26,200152,0.400304
0.28,209011,0.418022
0.3,214925,0.42985
0.32,218987,0.437974
0.34,223389,0.446778
0.36,227060,0.45412
0.38,230010,0.46002
0.4,233101,0.466202
0.42,235439,0.470878
0.44,237516,0.475032
0.46,239590,0.47918
0.48,241586,0.483172
0.5,243358,0.486716
0.52,244428,0.488856
0.54,245860,0.49172
0.56,246735,0.49347
0.58,247760,0.49552
0.6,248826,0.497652
0.62,249437,0.498874
0.64,250079,0.500158
0.66,250438,0.500876
0.68,251225,0.50245
0.7000000000000001,251349,0.502698
0.72,251786,0.503572
0.74,252189,0.504378
0.76,251766,0.503532
0.78,252287,0.504574
0.8,252183,0.504366
0.8200000000000001,252547,0.505094
0.84,252995,0.50599
0.86,253176,0.506352
0.88,253021,0.506042
0.9,253313,0.506626
0.92,252939,0.505878
0.9400000000000001,253106,0.506212
0.96,252901,0.505802
0.98,252763,0.505526
1.0,252542,0.505084
