a,hamming_abs,hamming_norm
0.0,250758,0.501516
0.01,249733,0.499466
0.02,250548,0.501096
0.03,249401,0.498802
0.04,250164,0.500328
0.05,250537,0.501074
0.06,250677,0.501354
0.07,249835,0.49967
0.08,249710,0.49942
0.09,249341,0.498682
0.1,250278,0.500556
0.11,249615,0.49923
0.12,250231,0.500462
0.13,250059,0.500118
0.14,250122,0.500244
0.15,249841,0.499682
0.16,250710,0.50142
0.17,249574,0.499148
0.18,249887,0.499774
0.19,250462,0.500924
0.2,35757,0.071514
0.21,249642,0.499284
0.22,250136,0.500272
0.23,250154,0.500308
0.24,250775,0.50155
0.25,250405,0.50081
0.26,249572,0.499144
0.27,250396,0.500792
0.28,250154,0.500308
0.29,249934,0.499868
0.3,249733,0.499466
0.31,250074,0.500148
0.32,249559,0.499118
0.33,250357,0.500714
0.34,249993,0.499986
0.35000000000000003,249663,0.499326
0.36,249749,0.499498
0.37,250595,0.50119
0.38,250367,0.500734
