a_barrido,a_utilizado,a_es_original_mqtt,hamming_abs,hamming_norm
0.02,0.02,0,225226,0.450452
0.04,0.04,0,225308,0.450616
0.06,0.06,0,225318,0.450636
0.08,0.08,0,225375,0.45075
0.1,0.1,0,225447,0.450894
0.12,0.12,0,225321,0.450642
0.14,0.14,0,225234,0.450468
0.16,0.16,0,224652,0.449304
0.18,0.18,0,223199,0.446398
0.2,0.2,1,0,0.0
0.22,0.22,0,268842,0.537684
0.24,0.24,0,270849,0.541698
0.26,0.26,0,271429,0.542858
0.28,0.28,0,271697,0.543394
0.3,0.3,0,271808,0.543616
0.32,0.32,0,271694,0.543388
0.34,0.34,0,271638,0.543276
0.36,0.36,0,271582,0.543164
0.38,0.38,0,271481,0.542962
0.4,0.4,0,271350,0.5427
0.42,0.42,0,271212,0.542424
0.44,0.44,0,270992,0.541984
0.46,0.46,0,270890,0.54178
0.48,0.48,0,270753,0.541506
0.5,0.5,0,270564,0.541128
0.52,0.52,0,270406,0.540812
0.54,0.54,0,270133,0.540266
0.56,0.56,0,269971,0.539942
0.58,0.58,0,269707,0.539414
0.6,0.6,0,269331,0.538662
0.62,0.62,0,269041,0.538082
0.64,0.64,0,268740,0.53748
0.66,0.66,0,268312,0.536624
0.68,0.68,0,267996,0.535992
0.7,0.7,0,267629,0.535258
0.72,0.72,0,267173,0.534346
0.74,0.74,0,266700,0.5334
0.76,0.76,0,266180,0.53236
0.78,0.78,0,265416,0.530832
0.8,0.8,0,264726,0.529452
0.82,0.82,0,263829,0.527658
0.84,0.84,0,263070,0.52614
0.86,0.86,0,262279,0.524558
0.88,0.88,0,261885,0.52377
0.9,0.9,0,261591,0.523182
0.92,0.92,0,261479,0.522958
0.94,0.94,0,261404,0.522808
0.96,0.96,0,261100,0.5222
0.98,0.98,0,260633,0.521266
1.0,1.0,0,260396,0.520792
