aLog_barrido,aLog_utilizado,aLog_es_original_mqtt,hamming_abs,hamming_norm
3.7,3.7,0,234213,0.468426
3.71,3.71,0,234022,0.468044
3.72,3.72,0,234487,0.468974
3.73,3.73,0,234063,0.468126
3.74,3.74,0,237208,0.474416
3.75,3.75,0,234468,0.468936
3.76,3.76,0,235018,0.470036
3.77,3.77,0,234659,0.469318
3.78,3.78,0,235230,0.47046
3.79,3.79,0,235204,0.470408
3.8,3.8,0,235876,0.471752
3.81,3.81,0,235763,0.471526
3.82,3.82,0,236900,0.4738
3.83,3.83,0,245267,0.490534
3.84,3.84,0,242614,0.485228
3.85,3.85,0,249214,0.498428
3.86,3.86,0,240940,0.48188
3.87,3.87,0,240772,0.481544
3.88,3.88,0,239604,0.479208
3.89,3.89,0,239696,0.479392
3.9,3.9,0,240233,0.480466
3.91,3.91,0,241348,0.482696
3.92,3.92,0,240451,0.480902
3.93,3.93,0,240267,0.480534
3.94,3.94,0,241721,0.483442
3.95,3.95,0,242349,0.484698
3.96,3.96,0,247273,0.494546
3.97,3.97,0,246495,0.49299
3.98,3.98,0,246820,0.49364
3.99,3.99,1,0,0.0
4.0,4.0,0,255261,0.510522
