c_barrido,c_utilizado,c_es_original_mqtt,hamming_abs,hamming_norm
5.0,5.0,0,353465,0.70693
5.02,5.02,0,352895,0.70579
5.04,5.04,0,352017,0.704034
5.06,5.06,0,351439,0.702878
5.08,5.08,0,351107,0.702214
5.1,5.1,0,350592,0.701184
5.12,5.12,0,349933,0.699866
5.14,5.14,0,349065,0.69813
5.16,5.16,0,348396,0.696792
5.18,5.18,0,347421,0.694842
5.2,5.2,0,346612,0.693224
5.22,5.22,0,345575,0.69115
5.24,5.24,0,344622,0.689244
5.26,5.26,0,343812,0.687624
5.28,5.28,0,342611,0.685222
5.3,5.3,0,341245,0.68249
5.32,5.32,0,339635,0.67927
5.34,5.34,0,338010,0.67602
5.36,5.36,0,336181,0.672362
5.38,5.38,0,333826,0.667652
5.4,5.4,0,330898,0.661796
5.42,5.42,0,328366,0.656732
5.44,5.44,0,325329,0.650658
5.46,5.46,0,322426,0.644852
5.48,5.48,0,320524,0.641048
5.5,5.5,0,318023,0.636046
5.52,5.52,0,314980,0.62996
5.54,5.54,0,311567,0.623134
5.56,5.5600000000000005,0,306728,0.613456
5.58,5.58,0,301975,0.60395
5.6,5.6,0,296099,0.592198
5.62,5.62,0,289455,0.57891
5.64,5.64,0,282332,0.564664
5.66,5.66,0,273523,0.547046
5.68,5.68,0,256252,0.512504
5.7,5.7,1,0,0.0
5.72,5.72,0,137137,0.274274
5.74,5.74,0,138491,0.276982
5.76,5.76,0,138514,0.277028
5.78,5.78,0,138518,0.277036
5.8,5.8,0,138608,0.277216
5.82,5.82,0,138754,0.277508
5.84,5.84,0,138673,0.277346
5.86,5.86,0,138474,0.276948
5.88,5.88,0,138433,0.276866
5.9,5.9,0,138626,0.277252
5.92,5.92,0,138534,0.277068
5.94,5.94,0,138733,0.277466
5.96,5.96,0,138720,0.27744
5.98,5.98,0,138377,0.276754
6.0,6.0,0,138461,0.276922
