x0_log_barrido,x0_log_utilizado,x0_log_es_original_mqtt,hamming_abs,hamming_norm
0.1,0.1,0,249920,0.49984
0.12,0.12,0,249811,0.499622
0.14,0.14,0,248738,0.497476
0.16,0.16,0,248453,0.496906
0.18,0.18,0,249285,0.49857
0.2,0.2,0,249147,0.498294
0.22,0.22,0,249932,0.499864
0.24,0.24,0,249201,0.498402
0.26,0.26,0,248905,0.49781
0.28,0.28,0,249216,0.498432
0.3,0.3,0,248694,0.497388
0.32,0.32,0,249419,0.498838
0.34,0.34,0,249709,0.499418
0.36,0.36,0,249103,0.498206
0.38,0.38,0,248910,0.49782
0.4,0.4,1,0,0.0
0.42,0.42,0,248875,0.49775
0.44,0.44,0,249042,0.498084
0.46,0.46,0,249818,0.499636
0.48,0.48,0,249053,0.498106
0.5,0.5,0,249428,0.498856
0.52,0.52,0,249053,0.498106
0.54,0.54,0,249818,0.499636
0.56,0.56,0,250266,0.500532
0.58,0.58,0,249024,0.498048
0.6,0.6,0,248843,0.497686
0.62,0.62,0,249113,0.498226
0.64,0.64,0,249103,0.498206
0.66,0.66,0,249709,0.499418
0.68,0.68,0,249419,0.498838
0.7,0.7,0,248156,0.496312
0.72,0.72,0,249216,0.498432
0.74,0.74,0,249267,0.498534
0.76,0.76,0,249201,0.498402
0.78,0.78,0,249145,0.49829
0.8,0.8,0,249275,0.49855
0.82,0.82,0,249285,0.49857
0.84,0.84,0,248453,0.496906
0.86,0.86,0,248466,0.496932
0.88,0.88,0,249811,0.499622
0.9,0.9,0,249336,0.498672
